user_id,item_id,recommend,year_posted,sentiment_analysis
76561198102421718,270550,1,2015,1
76561198102421718,274940,1,2015,2
76561198102421718,333930,1,2015,1
76561198087407319,440,1,2014,0
76561198056741844,730,1,2014,1
sad-commie,212070,1,2014,2
sad-commie,264140,1,2014,1
76561198030567998,332800,1,2014,1
76561198030567998,319630,1,2015,2
76561198030567998,6020,1,2015,1
76561198030567998,55230,1,2015,2
76561198030567998,32430,1,2014,1
Coldaniel,35450,1,2015,2
Coldaniel,440,1,2014,1
Coldaniel,236390,1,2015,2
therealmorty,351570,1,2015,1
therealmorty,212680,1,2015,0
Berserklejerker,391540,1,2015,1
76561198061730629,550,1,2014,1
YoHuNz,440,1,2014,1
YoHuNz,570,1,2014,1
possessioniskey,72850,1,2015,2
possessioniskey,440,1,2015,1
possessioniskey,113400,1,2014,0
76561198093112529,440,1,2014,1
76561198060447950,200510,1,2015,2
whiteofwolfing,730,1,2015,2
sergarino,383080,1,2015,1
76561198081962345,1250,1,2014,1
Nozomikat,265610,1,2015,1
Nozomikat,264200,1,2014,1
Nozomikat,417860,1,2015,1
Nozomikat,333600,1,2015,2
Nozomikat,213670,1,2014,1
Nozomikat,91310,1,2013,1
Nozomikat,210770,1,2013,0
xfluttersx,351640,1,2015,1
xfluttersx,105600,1,2012,2
xfluttersx,440,1,2014,2
xfluttersx,47870,1,2013,2
xfluttersx,383080,1,2015,2
xfluttersx,410,1,2012,2
76561198056290589,730,1,2014,2
ii_voltage_ii,253710,0,2014,1
ii_voltage_ii,339280,1,2015,2
ii_voltage_ii,271290,1,2014,2
ii_voltage_ii,203290,1,2013,2
76561198097762318,440,1,2015,1
76561198097762318,233150,1,2014,0
Hirukaz,550,1,2013,1
StelerForYou,730,1,2015,2
StelerForYou,211820,1,2013,2
76561198183396245,440,1,2015,2
Xx-Woods,224260,1,2015,2
Xx-Woods,317360,1,2014,2
Xx-Woods,295550,1,2014,2
Xx-Woods,250180,1,2014,1
Xx-Woods,227940,1,2014,1
Xx-Woods,17520,1,2014,1
Xx-Woods,113420,1,2014,2
kevinator23,320760,1,2015,0
kevinator23,8850,1,2015,1
kevinator23,233720,1,2014,1
kevinator23,218620,1,2015,0
kevinator23,730,1,2015,2
kevinator23,219740,1,2015,2
kevinator23,220240,1,2014,1
kevinator23,440,1,2012,1
76561198090715178,4000,1,2014,2
76561198090715178,304930,1,2014,2
CatsWhale,333950,1,2015,1
CatsWhale,388520,1,2015,1
CatsWhale,107410,1,2014,1
CatsWhale,206210,1,2014,1
76561198073784601,221100,1,2015,2
mimimomoma,730,1,2015,0
76561198102410011,440,1,2015,1
de_Butl3r,209870,1,2014,1
Bluezap1,440,1,2015,2
Bluezap1,730,1,2015,2
Bluezap1,362890,1,2015,2
Bluezap1,413850,1,2015,1
76561198074200011,730,1,2015,2
L1J1N,570,1,2014,2
Lord_Exploit,311560,1,2015,1
Lord_Exploit,322170,1,2015,1
AVATAR715,48240,0,2014,0
AVATAR715,440,1,2015,2
AVATAR715,248570,1,2014,1
AVATAR715,264140,1,2014,0
AVATAR715,4000,1,2014,1
AVATAR715,266430,1,2015,2
AVATAR715,316010,1,2015,2
AVATAR715,249570,1,2014,1
76561198078752187,240,1,2014,0
A-Very-Sly-Person,304930,1,2015,1
A-Very-Sly-Person,440,1,2014,1
76561197994493402,264200,1,2015,2
76561197994493402,440,1,2014,2
76561198065656175,383080,1,2015,1
97396295,301520,1,2014,2
97396295,243870,1,2014,2
97396295,218230,0,2014,2
76561198126640317,251570,1,2015,2
76561198126640317,221100,1,2015,1
76561198126640317,316010,1,2015,2
76561198126640317,218230,1,2015,1
76561198126640317,333930,1,2015,2
76561198126640317,222880,1,2015,1
76561198126640317,730,1,2015,1
DemonicWolvz,55230,1,2015,2
DemonicWolvz,232090,1,2015,2
DemonicWolvz,4000,1,2015,0
DemonicWolvz,206420,1,2014,2
DemonicWolvz,224260,1,2014,1
DemonicWolvz,550,1,2013,2
DieMadchenschanderin,346110,1,2015,1
DieMadchenschanderin,380770,0,2015,0
DieMadchenschanderin,227680,0,2013,1
GGargula,233250,1,2015,1
getf0kinn0sc0pedm9,730,1,2015,0
76561198141443390,730,1,2015,2
whodafuqisthisguilao,730,1,2015,2
Magjiikal,370480,1,2015,2
Magjiikal,313740,1,2015,1
ohnospaghet,1840,1,2014,2
ohnospaghet,440,1,2014,2
ohnospaghet,266210,1,2015,2
ohnospaghet,264200,1,2015,2
2768820078,287700,1,2015,1
2768820078,377160,1,2015,1
2768820078,221380,1,2015,1
2768820078,333950,1,2015,1
2768820078,222420,0,2015,1
2768820078,271590,1,2015,1
2768820078,298110,1,2015,1
2768820078,222440,1,2015,1
2d4nk4m3,317470,0,2014,0
2d4nk4m3,47410,1,2014,2
76561198095921854,245620,1,2015,2
EizanAratoFujimaki,70,1,2015,1
TeCool,274980,1,2014,1
TeCool,202090,1,2014,2
TeCool,339280,1,2015,1
TeCool,314130,0,2015,0
2xDelorean,570,1,2015,1
2xDelorean,212680,1,2013,2
2xDelorean,200210,1,2013,2
2xDelorean,440,1,2011,2
washington_,417860,1,2015,1
jewxxl,251970,1,2015,2
76561198088944293,304930,1,2014,1
76561198092540221,400,1,2015,2
76561198092540221,620,1,2015,2
76561198092540221,238460,1,2015,2
76561198092540221,6060,1,2015,2
76561198092540221,440,1,2014,2
76561198051258119,730,1,2015,2
nubquake123,265610,1,2014,2
Pyromanic,31280,1,2013,1
Pyromanic,4000,1,2013,2
Pyromanic,240,1,2013,2
CobRazor,252490,1,2015,0
relesprit,8930,1,2013,2
WitchHunter4542,304930,1,2014,2
WitchHunter4542,237310,1,2015,1
WitchHunter4542,224260,1,2014,2
pwrt,230410,1,2015,1
pwrt,440,1,2014,2
wantmahbody,440,1,2014,2
benedictcuminherbatch,570,1,2014,2
76561198031207016,8930,1,2014,2
76561198043458582,105600,1,2015,0
76561198043458582,221100,1,2015,2
76561198043458582,107410,1,2015,2
76561198043458582,231430,1,2014,1
smashiroshh,218620,1,2014,2
killbunny38,570,1,2015,2
killbunny38,333930,0,2015,0
76561198047630659,230410,0,2015,1
1337lolroflmao,271590,1,2015,1
1337lolroflmao,218620,1,2014,1
1337lolroflmao,219740,1,2013,2
1337lolroflmao,7940,1,2013,2
1337lolroflmao,234190,1,2014,0
1337lolroflmao,10180,1,2013,2
1337lolroflmao,33900,1,2013,2
1337lolroflmao,261030,1,2015,2
1337lolroflmao,243470,1,2014,1
sithjjf,302830,0,2015,1
76561198060039459,570,0,2014,1
OzfurAtlas,212680,1,2013,0
76561198065593074,304930,0,2015,0
76561198065593074,304050,1,2015,2
76561198065593074,203750,1,2014,0
76561198044169764,227940,0,2015,1
76561198044169764,355180,0,2015,1
76561198044169764,4000,1,2015,1
euzi,236390,1,2014,2
76561197961778802,730,1,2014,2
thisissohardtomakeoneup,440,1,2014,1
76561198087010391,4000,1,2015,2
66666669999999,302830,0,2015,1
76561198061174192,220200,1,2014,2
76561198061174192,242760,1,2014,1
ReMiXOfficalSteam,352460,1,2015,2
Wilfire77,322920,1,2015,2
76561198084390807,234792,1,2015,1
76561198084390807,252490,1,2014,1
Mastic,304050,0,2015,1
Mastic,550,1,2014,2
Mastic,206420,1,2014,2
76561198028286104,10180,1,2013,2
tarjla,304930,1,2014,1
tarjla,265750,1,2015,1
tarjla,252490,1,2014,2
tarjla,4000,1,2013,2
tarjla,211820,1,2013,0
tarjla,105600,1,2013,2
tarjla,730,1,2014,2
deathnz1,276340,1,2014,2
76561198104393251,304930,1,2015,1
redsncrimson,274920,1,2014,2
redsncrimson,211820,1,2013,2
redsncrimson,49520,1,2013,2
redsncrimson,223510,1,2013,1
redsncrimson,440,1,2012,2
H1DD3NT3RR0R,240,1,2014,1
H1DD3NT3RR0R,105600,1,2014,1
H1DD3NT3RR0R,204300,1,2013,2
H1DD3NT3RR0R,730,1,2014,1
H1DD3NT3RR0R,440,0,2015,0
H1DD3NT3RR0R,570,1,2014,0
76561198071214618,268750,1,2015,2
76561198115115631,570,1,2015,2
76561198071175142,570,1,2015,2
76561198071175142,271590,1,2015,2
t8s,360870,1,2015,1
t8s,730,1,2015,2
pikawuu2,12900,1,2013,2
Sammeh00,301520,1,2014,1
Michaelele,6060,1,2014,0
Michaelele,730,1,2014,2
Michaelele,107410,1,2014,1
Michaelele,304930,1,2014,2
76561198045754869,335670,1,2015,0
76561198076098774,215080,1,2015,2
76561198103253374,570,1,2014,1
76561198048417105,271590,1,2015,1
76561198048417105,730,1,2015,2
76561198090842891,8190,1,2015,1
76561198055767971,247730,0,2015,0
76561197998052647,233630,1,2014,1
76561198145436942,221100,1,2014,2
jjas01,208812,0,2014,0
jjas01,218620,0,2015,1
jjas01,243120,1,2013,2
jjas01,234140,1,2015,2
jjas01,204450,1,2014,2
jjas01,225260,1,2014,1
jjas01,50300,1,2013,2
jjas01,201810,1,2014,2
3xotic26,500,1,2014,2
3xotic26,440,1,2014,2
3xotic26,49520,1,2014,2
3xotic26,550,1,2013,2
iamthetrashlord,206420,1,2015,1
iamthetrashlord,213670,1,2014,2
3dster,550,1,2015,2
76561198079990063,231040,1,2014,2
Forty-Nine,221100,1,2014,1
76561198051017916,351040,1,2015,1
76561198051017916,250600,1,2014,1
L4M1NAS,221100,1,2015,2
76561197995322437,264710,1,2015,2
imsojipper,218620,1,2014,1
76561198084542731,206420,1,2015,1
76561198084542731,47790,1,2014,2
76561198103671881,570,1,2015,2
mrpfresh,346110,1,2015,0
GamerFag,440,1,2012,2
GamerFag,70,1,2011,1
GamerFag,420,1,2011,2
GamerFag,380,1,2011,2
GamerFag,220,1,2011,2
GamerFag,1250,1,2010,2
EHS-R3AP3R,339230,0,2015,1
EHS-R3AP3R,349700,1,2015,2
EHS-R3AP3R,226700,1,2013,2
EHS-R3AP3R,209160,1,2013,2
chidori_647,219990,1,2013,0
chidori_647,213670,1,2014,1
chidori_647,21100,0,2013,0
chidori_647,8190,1,2013,1
chidori_647,215470,0,2013,0
76561198092227136,730,1,2014,2
76561198092227136,1250,1,2014,1
hellcat59,4000,1,2014,1
76561198007584361,401650,1,2015,1
tbimperator,35450,1,2012,2
Allahu_Akbar666,230410,1,2015,2
Allahu_Akbar666,304930,0,2014,0
ulramite,290020,1,2014,1
ulramite,248860,1,2014,1
-GM-Dragon,226700,0,2014,0
-GM-Dragon,244850,1,2015,1
76561198054040292,298260,1,2015,1
76561198078799606,370240,0,2015,0
76561198078799606,730,1,2015,2
76561198078799606,233450,1,2014,1
I_DID_911_JUST_SAYING,221260,1,2013,1
diabeticfuck,218620,1,2015,0
diabeticfuck,419070,1,2015,1
diabeticfuck,333930,0,2015,1
diabeticfuck,287700,1,2015,1
76561198054465623,302830,0,2015,1
76561198054465623,24240,1,2014,2
76561198054465623,39800,1,2015,1
76561198054465623,250600,1,2014,1
76561198054465623,105600,1,2015,2
76561198054465623,113020,1,2014,1
aaropro,440,1,2014,1
abiam,238960,1,2014,1
FrankoWalker,310370,1,2015,1
FrankoWalker,260410,1,2014,1
FrankoWalker,236390,1,2014,0
LightfootSword7,221100,0,2015,1
SALTTHEW0UND,248820,1,2015,1
SALTTHEW0UND,730,1,2014,2
SALTTHEW0UND,550,1,2014,2
SALTTHEW0UND,204030,1,2014,2
SALTTHEW0UND,440,1,2013,2
SALTTHEW0UND,383080,1,2015,2
express157,304930,1,2014,2
76561198074644990,242760,1,2015,1
76561198074644990,207230,1,2015,2
76561198074644990,9180,0,2013,0
76561198064304806,730,1,2015,0
TomoeMamiewe,10150,1,2014,1
76561198057086148,214950,1,2015,1
Acidius99,218620,1,2014,2
Acidius99,220240,1,2014,2
Acidius99,271290,0,2015,0
acorn13,313740,1,2014,1
acorn13,34330,1,2012,1
acorn13,271590,1,2015,2
AddzyTheBaddzy,291550,1,2015,2
AddzyTheBaddzy,259080,1,2013,2
mrfunkyjunkie,233250,1,2014,1
mrfunkyjunkie,256350,1,2014,2
mrfunkyjunkie,249380,1,2015,2
76561198167207237,391540,1,2015,0
76561198167207237,265930,1,2015,1
76561198167207237,620,1,2015,2
cancerkek,730,1,2015,1
76561198073508075,10090,1,2014,2
76561198073508075,218680,1,2014,1
advenger95,22370,1,2015,2
advenger95,307690,1,2015,1
advenger95,72850,1,2015,2
EndAtHallow,1250,1,2015,1
76561198063624801,440,1,2014,0
aeryal,440,1,2014,2
76561198070263209,570,1,2013,1
76561198015968275,248610,1,2015,1
Agiegamma,208090,1,2014,2
76561198082614708,250340,1,2014,2
Agronoth,244850,1,2014,2
Agronoth,221640,1,2015,2
Agronoth,104900,1,2015,2
Agronoth,105600,1,2015,2
Agronoth,9450,0,2015,1
UnholyFallenAngel,262410,1,2014,2
UnholyFallenAngel,222940,1,2015,2
UnholyFallenAngel,221040,1,2014,1
76561198068565589,221100,1,2014,1
76561198068565589,286570,1,2015,1
76561198068565589,263440,0,2014,2
SlutOnTheSpit,4000,1,2014,2
WestyGaming,223710,1,2014,1
NaruseAiria,317360,1,2014,2
NaruseAiria,108600,1,2014,0
NaruseAiria,259080,1,2013,2
NaruseAiria,208520,1,2013,1
76561198067713802,239660,1,2015,1
76561198067713802,304930,1,2015,2
Alex680,4000,1,2014,2
alansiulun,295270,1,2014,2
alansiulun,265930,1,2015,2
Albolah,283920,1,2015,1
Albolah,440,1,2015,2
Albolah,294650,1,2015,1
76561198003056556,233720,1,2014,1
maxpaynepillkiller,12120,1,2015,1
maxpaynepillkiller,55230,1,2015,2
AlexNoClutch,227860,0,2015,0
Alexwai04,218620,1,2015,1
76561198095481910,208090,1,2014,0
AlkalineDeath,228280,1,2015,1
AlkalineDeath,240760,1,2014,1
76561198075935236,226700,1,2015,1
76561198075935236,250900,1,2015,2
mintifreshbadger,35450,1,2015,1
AlpacaRevolution,212680,1,2014,2
AlpacaRevolution,346110,0,2015,1
76561198071952798,205100,1,2013,2
76561198009001563,570,1,2014,1
76561198016753953,271290,1,2014,2
76561198016753953,570,1,2014,1
smegmyfoodle,346010,1,2015,2
smegmyfoodle,239250,1,2015,0
76561198057869849,313120,1,2015,2
76561198058836921,211820,1,2015,2
lol_ursuchanoob,218620,1,2014,0
lol_ursuchanoob,12210,1,2014,0
lol_ursuchanoob,220240,1,2014,1
lol_ursuchanoob,17300,1,2014,1
AMV72,206440,1,2013,2
AMV72,209100,0,2012,0
AMV72,209000,1,2013,1
AMV72,218060,1,2013,2
AMV72,24240,1,2012,2
76561198069170979,440,1,2015,2
76561198132540690,730,1,2015,0
76561198132540690,220200,1,2015,1
711armageddoncarmageddon,113020,1,2015,1
711armageddoncarmageddon,105600,1,2015,2
711armageddoncarmageddon,9480,1,2015,2
Andraison,22230,1,2015,0
76561198055790408,203770,1,2013,2
76561198069560699,550,1,2013,2
76561198069560699,259080,1,2013,1
76561198069560699,72850,1,2013,1
76561198069560699,8870,1,2014,1
76561198099625419,230410,1,2014,1
76561198099625419,200260,1,2014,1
76561198099625419,19900,1,2013,2
76561198099625419,241540,1,2013,1
76561198099625419,220,1,2013,1
76561198084032274,227940,0,2014,0
76561198084032274,236390,0,2014,2
Angrovar,17390,1,2014,2
Angrovar,359320,1,2015,1
AngryAinsley,317360,1,2015,1
AngryAinsley,253030,1,2015,1
AngryAinsley,295110,1,2015,2
AngryAinsley,264710,1,2015,2
uradumbtit,274310,1,2014,1
uradumbtit,4000,1,2014,2
IKillNoobsFirst,730,1,2015,2
76561198037888300,344770,1,2015,2
1234865654,22380,1,2014,2
76561198084123358,9900,1,2015,2
Apachehavoc,107410,0,2014,1
ApexNZ,221640,1,2014,2
ApexNZ,202170,1,2014,2
ApexNZ,49520,1,2014,1
ApexNZ,245490,1,2014,2
ApexNZ,313120,1,2015,1
76561198039441595,113020,0,2014,1
76561198039441595,319510,0,2015,2
76561198039441595,20,0,2014,1
76561198039441595,209080,0,2014,0
76561198039441595,223470,0,2014,1
76561198039441595,417860,1,2015,1
76561198039441595,269250,1,2015,1
76561198039441595,313740,0,2014,0
76561198039441595,8190,1,2014,0
76561198036687918,377160,1,2015,1
benjamin27,730,1,2015,1
benjamin27,244850,1,2014,2
AppoGetsSuperAdmin,212500,1,2015,1
AppoGetsSuperAdmin,570,0,2015,0
AppoGetsSuperAdmin,104900,1,2015,1
76561198049916759,219990,1,2015,2
76561198049916759,293260,1,2015,2
XABLAUziitu,214420,0,2015,2
XABLAUziitu,105600,1,2015,1
XABLAUziitu,440,1,2013,1
XABLAUziitu,200210,1,2013,1
76561198012909706,218130,1,2013,2
dragonchief,252490,0,2014,1
76561198040530605,218230,1,2014,2
76561198040530605,104900,1,2014,2
76561198040530605,440,1,2014,2
76561198040530605,240,1,2011,1
76561197974500703,8980,1,2012,0
76561197974500703,31270,1,2012,1
76561197974500703,113200,1,2012,1
76561197974500703,8190,1,2012,1
76561197974500703,43000,1,2012,2
76561197974500703,18700,0,2011,1
76561197974500703,98800,1,2011,1
76561197974500703,107100,1,2011,2
76561197974500703,630,1,2010,1
76561197974500703,57300,1,2010,2
76561198047185525,213670,1,2014,2
76561198047185525,218620,1,2014,1
76561198047185525,226620,1,2013,1
bilyitu,570,1,2014,1
bilyitu,730,1,2014,1
76561198021244661,105600,1,2014,2
76561198088538797,209870,1,2015,2
deployablearchnagel,265630,1,2014,1
rotflmaoman,401920,1,2015,1
armouredmarshmallow,440,1,2015,1
armouredmarshmallow,346900,1,2015,1
armouredmarshmallow,630,1,2015,2
76561198020928326,70,1,2014,1
Array71,8500,0,2014,0
Array71,244850,1,2014,2
76561198039874575,221100,1,2014,0
arronlim13,99900,1,2015,2
ARTHERDUNGER10,250900,1,2015,2
Mackus1011,211820,1,2013,2
Mackus1011,380600,1,2015,2
Mackus1011,22380,1,2015,1
Mackus1011,252490,1,2014,0
76561198041877981,2450,0,2014,1
76561198041877981,241540,1,2014,0
darkmassieh,107410,1,2015,1
darkmassieh,230190,1,2015,1
darkmassieh,391270,1,2015,1
darkmassieh,301520,1,2015,2
darkmassieh,227680,0,2015,2
asianturtlefrenzy,246420,1,2015,1
asianturtlefrenzy,289130,1,2015,2
asianturtlefrenzy,234630,1,2015,2
asianturtlefrenzy,249050,1,2015,2
asianturtlefrenzy,418340,1,2015,2
asianturtlefrenzy,223850,1,2015,2
asianturtlefrenzy,263020,1,2015,0
asianturtlefrenzy,287980,1,2015,1
asianturtlefrenzy,245550,1,2014,2
blowjobsfurdayzandgayz,570,1,2015,1
blowjobsfurdayzandgayz,417860,1,2015,1
blowjobsfurdayzandgayz,96100,0,2015,0
76561198082992295,4000,1,2014,1
76561198082992295,570,1,2014,2
76561198082992295,440,1,2014,2
LaLocaDeLosDulces,80,1,2015,1
76561198064352761,56400,1,2014,2
assassin_warman,72850,1,2015,1
assassin_warman,105600,1,2015,1
assassin_warman,219150,1,2015,2
assassin_warman,218620,1,2015,2
assassin_warman,440,1,2015,2
Astrelt,385770,1,2015,2
Astrelt,252630,1,2014,2
Astrelt,212200,1,2014,2
Astrelt,218680,1,2014,1
Astrelt,230410,1,2015,2
Astrelt,4000,1,2015,1
Astrelt,346900,1,2015,2
Astrelt,440,1,2012,2
Astrelt,387860,1,2015,0
Astrelt,221640,1,2015,0
Swish0009,218620,1,2014,1
Swish0009,203160,1,2014,2
Swish0009,230410,1,2014,1
Swish0009,219640,1,2014,2
Swish0009,213850,1,2014,1
Aurora99,72850,1,2014,1
Aurora99,730,1,2014,1
Aurora99,105600,1,2015,2
Aurora99,550,1,2014,1
Aurora99,369580,1,2015,2
Aurora99,282440,0,2015,1
Aurora99,1250,1,2014,1
Aurora99,440,1,2014,1
Aurora99,8400,1,2014,1
76561198053071988,271590,0,2015,0
76561198083375450,225640,1,2015,1
76561198083375450,113420,1,2014,2
76561198083375450,226700,0,2014,0
76561198083375450,377160,1,2015,2
76561198083375450,421770,0,2015,0
76561198083375450,239220,1,2015,1
76561198083375450,224600,1,2014,1
76561198078730600,440,1,2014,2
auzmoz,243870,1,2014,2
auzmoz,320,1,2013,1
auzmoz,8500,1,2013,2
auzzie_96,289130,1,2014,2
fatrangacuntnolifevirgin,202970,1,2014,2
76561198064150679,20920,1,2014,2
76561198110293299,265930,1,2014,2
76561198110293299,346110,1,2015,2
76561198110293299,304930,1,2015,2
76561198110293299,236390,1,2015,2
de_triggered,268650,1,2015,1
de_triggered,224540,1,2015,1
de_triggered,219640,1,2015,2
de_triggered,233450,1,2015,1
de_triggered,440,1,2015,2
de_triggered,4000,1,2015,2
de_triggered,236390,1,2015,1
Azrafael,215530,1,2013,1
76561198076301023,251570,1,2014,1
hoarbiscuit,55230,1,2014,1
bohgeraltofrivia,259700,1,2013,1
bohgeraltofrivia,261640,1,2014,2
TeH-B-Rad,730,1,2014,1
TeH-B-Rad,440,1,2015,2
BAW_Killer,221100,1,2014,1
BAW_Killer,287700,0,2015,0
BAW_Killer,359550,0,2015,0
gamerdude7892,22380,1,2015,1
2ez4medick,570,1,2014,2
BBBirb,4000,1,2014,2
AgentXiri,570,1,2014,1
76561197998761331,310380,1,2014,2
76561198096750939,4000,1,2015,1
crispymemesmantheyremyfavourite,230410,1,2015,2
crispymemesmantheyremyfavourite,383980,1,2015,0
crispymemesmantheyremyfavourite,304050,1,2015,1
crispymemesmantheyremyfavourite,212680,1,2014,2
76561198074409406,391460,0,2015,0
H-Alo,346010,1,2015,1
420Blz,107410,1,2013,2
76561198076548816,200210,1,2015,0
76561198076548816,226700,1,2014,2
76561198076548816,113020,1,2014,2
76561198076548816,219740,1,2014,2
chillrend,221100,1,2014,1
chillrend,393010,1,2015,2
chillrend,208090,1,2014,2
chillrend,440,1,2013,2
Gborges,440,1,2014,1
lukeyturley,218230,1,2014,2
76561198095142204,570,1,2015,1
BOB_200,8400,1,2014,1
76561198070735033,359290,0,2015,1
76561198018560501,10500,1,2013,2
76561198069458790,265630,1,2014,1
76561198069458790,440,1,2014,1
76561198051148175,218620,1,2014,0
76561198047208452,220240,1,2013,2
76561198047208452,113200,1,2014,2
generalale,239160,1,2014,0
generalale,220240,1,2014,1
generalale,440,1,2013,2
brendoboy,630,1,2013,2
brendoboy,218620,0,2014,0
brendoboy,208090,0,2014,1
brendoboy,230410,1,2014,0
brendoboy,322330,1,2014,1
brendoboy,1250,1,2014,2
76561198071234254,200210,1,2014,1
76561198071234254,238460,1,2014,2
76561198071234254,730,1,2013,2
76561198071234254,105600,1,2013,2
76561198071234254,440,1,2013,2
76561197988934555,295110,1,2015,2
76561197988934555,301520,1,2015,2
Infixation,346560,1,2015,1
Infixation,328220,1,2015,2
Infixation,256410,1,2013,2
Infixation,730,1,2015,1
Infixation,252490,1,2014,2
Infixation,203160,1,2013,2
Infixation,39120,1,2013,2
76561198047304525,239070,1,2014,1
76561197994969639,91310,1,2011,2
JuanManSnipez,730,1,2014,2
Ben_Andy,265770,0,2014,0
Ben_Andy,105600,1,2013,1
Bennysaputra,10,1,2015,1
76561198067021476,730,1,2014,0
76561198045071942,310380,1,2015,2
Bhappiikhat,304930,1,2014,2
Ahahahahahahahahahahahahahahaha,570,0,2014,0
BITCHPLESE,295110,1,2015,0
BITCHPLESE,319630,1,2015,0
Too_1337,220,1,2012,2
Too_1337,4000,1,2015,2
kinglemon1222,48700,1,2012,2
76561198030636321,255710,1,2015,0
IJustWantedToTalk,4000,1,2015,2
IJustWantedToTalk,304930,1,2015,2
IJustWantedToTalk,247730,0,2015,1
76561198034643189,263280,1,2014,0
LlamasInNigjamas,730,1,2014,0
mavros88,369200,0,2015,0
mavros88,288470,1,2015,1
mavros88,209870,1,2015,2
mavros88,216250,1,2015,2
mavros88,50300,1,2015,1
Hummingsenpai,333930,1,2015,1
CHAAANG,10680,1,2015,0
CHAAANG,238320,1,2015,0
76561198077586769,440,1,2015,2
bitmat,300570,1,2015,2
bitmat,201420,1,2013,1
bitmat,220240,1,2012,1
bitmat,211420,1,2012,1
76561198028483487,238260,1,2013,2
Ghoster09,206210,1,2015,1
