id,user_id,item_id,title,developer,release_date,price,recommend,year_posted,sentiment_analysis,playtime_forever
UTNerd24376920,UTNerd24,376920,Tiki Man,Anarchy Enterprises,2015.0,0.99,1,2015,2,20
sandwiches1417860,sandwiches1,417860,Emily is Away,Kyle Seeley,2015.0,0.0,0,2015,1,55
Life-Of-Blu211820,Life-Of-Blu,211820,Starbound,Chucklefish,2016.0,14.99,1,2013,1,8729
Life-Of-Blu377160,Life-Of-Blu,377160,Fallout 4,Bethesda Game Studios,2015.0,29.99,1,2015,2,4509
CaptianAutismo252490,CaptianAutismo,252490,Rust,Facepunch Studios,2013.0,19.99,1,2015,2,26620
kube134251990,kube134,251990,Long Live The Queen,Hanako Games,2013.0,9.99,1,2014,2,181
iamthekingofbrowntown252950,iamthekingofbrowntown,252950,Rocket League®,"Psyonix, Inc.",2015.0,19.99,1,2015,1,5512
iamthekingofbrowntown344760,iamthekingofbrowntown,344760,Reign Of Kings,Code}{atch,2015.0,19.99,0,2015,0,917
yookobz219150,yookobz,219150,Hotline Miami,Dennaton Games,2012.0,9.99,1,2013,2,353
yookobz377160,yookobz,377160,Fallout 4,Bethesda Game Studios,2015.0,29.99,1,2015,2,3899
Posiblydead17410,Posiblydead,17410,Mirror's Edge™,DICE,2009.0,19.99,1,2012,2,1146
Posiblydead239820,Posiblydead,239820,Game Dev Tycoon,Greenheart Games,2013.0,9.99,1,2014,2,483
Posiblydead277430,Posiblydead,277430,Halo: Spartan Assault,"Vanguard Games,343 Industries",2014.0,2.99,1,2014,2,335
76561198102421718270550,76561198102421718,270550,Yet Another Zombie Defense,Awesome Games Studio,2014.0,1.99,1,2015,1,117
76561198102421718274940,76561198102421718,274940,Depth,Digital Confectioners,2014.0,19.99,1,2015,2,1156
76561198056741844730,76561198056741844,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2014,1,37986
sad-commie212070,sad-commie,212070,Star Conflict,Star Gem Inc.,2013.0,0.0,1,2014,2,324
sad-commie264140,sad-commie,264140,Pixel Piracy,Vitali Kirpu,2015.0,9.99,1,2014,1,1272
765611980305679986020,76561198030567998,6020,STAR WARS™ Jedi Knight - Jedi Academy™,"Raven Software,Aspyr (Mac)",2003.0,9.99,1,2015,1,1884
7656119803056799832430,76561198030567998,32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"LucasArts,Aspyr Studios",2009.0,19.99,1,2014,1,2748
7656119803056799855230,76561198030567998,55230,Saints Row: The Third,Volition,2011.0,9.99,1,2015,2,12749
76561198030567998332800,76561198030567998,332800,Five Nights at Freddy's 2,Scott Cawthon,2014.0,7.99,1,2014,1,22
Coldaniel35450,Coldaniel,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Tripwire Interactive,2011.0,19.99,1,2015,2,7635
therealmorty212680,therealmorty,212680,FTL: Faster Than Light,Subset Games,2012.0,9.99,1,2015,0,365
Berserklejerker391540,Berserklejerker,391540,Undertale,tobyfox,2015.0,9.99,1,2015,1,1643
76561198061730629550,76561198061730629,550,Left 4 Dead 2,Valve,2009.0,19.99,1,2014,1,6287
76561198060447950200510,76561198060447950,200510,XCOM: Enemy Unknown,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012.0,29.99,1,2015,2,2190
whiteofwolfing730,whiteofwolfing,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,94334
Nozomikat210770,Nozomikat,210770,Sanctum 2,Coffee Stain Studios,2013.0,14.99,1,2013,0,227
Nozomikat264200,Nozomikat,264200,One Finger Death Punch,Silver Dollar Games,2014.0,4.99,1,2014,1,151
Nozomikat265610,Nozomikat,265610,Epic Battle Fantasy 4,Matt Roszak,2014.0,11.99,1,2015,1,966
Nozomikat213670,Nozomikat,213670,South Park™: The Stick of Truth™,Obsidian Entertainment,2014.0,29.99,1,2014,1,2764
Nozomikat417860,Nozomikat,417860,Emily is Away,Kyle Seeley,2015.0,0.0,1,2015,1,42
xfluttersx47870,xfluttersx,47870,Need For Speed: Hot Pursuit,Criterion Games,2010.0,19.99,1,2013,2,639
xfluttersx105600,xfluttersx,105600,Terraria,Re-Logic,2011.0,9.99,1,2012,2,2982
xfluttersx351640,xfluttersx,351640,Eternal Senia,Holy Priest,2015.0,0.0,1,2015,1,388
76561198056290589730,76561198056290589,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2014,2,55168
ii_voltage_ii253710,ii_voltage_ii,253710,theHunter Classic,"Expansive Worlds,Avalanche Studios",2014.0,0.0,0,2014,1,15
ii_voltage_ii339280,ii_voltage_ii,339280,Strife®,S2 Games,2015.0,0.0,1,2015,2,1024
Hirukaz550,Hirukaz,550,Left 4 Dead 2,Valve,2009.0,19.99,1,2013,1,4397
StelerForYou730,StelerForYou,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,172753
StelerForYou211820,StelerForYou,211820,Starbound,Chucklefish,2016.0,14.99,1,2013,2,6071
Xx-Woods250180,Xx-Woods,250180,METAL SLUG 3,"SNK CORPORATION,DotEmu",2014.0,7.99,1,2014,1,326
Xx-Woods295550,Xx-Woods,295550,Royal Quest,Katauri,2014.0,0.0,1,2014,2,971
Xx-Woods227940,Xx-Woods,227940,Heroes &amp; Generals,Reto-Moto,2016.0,0.0,1,2014,1,795
kevinator238850,kevinator23,8850,BioShock® 2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2010.0,19.99,1,2015,1,1702
kevinator23730,kevinator23,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,21527
kevinator23220240,kevinator23,220240,Far Cry 3,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",2012.0,19.99,1,2014,1,3678
kevinator23233720,kevinator23,233720,Surgeon Simulator,Bossa Studios,2013.0,9.99,1,2014,1,419
kevinator23320760,kevinator23,320760,Tokyo School Life,"M2 Co.,LTD",2015.0,14.99,1,2015,0,705
765611980907151784000,76561198090715178,4000,Garry's Mod,Facepunch Studios,2006.0,9.99,1,2014,2,9098
76561198090715178304930,76561198090715178,304930,Unturned,Smartly Dressed Games,2017.0,0.0,1,2014,2,2503
76561198073784601221100,76561198073784601,221100,DayZ,Bohemia Interactive,2013.0,34.99,1,2015,2,45855
mimimomoma730,mimimomoma,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,0,119850
de_Butl3r209870,de_Butl3r,209870,Blacklight: Retribution,Hardsuit Labs,2012.0,0.0,1,2014,1,15802
Bluezap1730,Bluezap1,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,48969
Bluezap1362890,Bluezap1,362890,Black Mesa,Crowbar Collective,2015.0,19.99,1,2015,2,589
76561198074200011730,76561198074200011,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,68487
Lord_Exploit322170,Lord_Exploit,322170,Geometry Dash,RobTop Games,2014.0,3.99,1,2015,1,45
Lord_Exploit311560,Lord_Exploit,311560,Assassin’s Creed® Rogue,"Ubisoft Sofia,Ubisoft Kiev",2015.0,19.99,1,2015,1,2491
AVATAR7154000,AVATAR715,4000,Garry's Mod,Facepunch Studios,2006.0,9.99,1,2014,1,84437
AVATAR715248570,AVATAR715,248570,Toribash,Nabi Studios,2006.0,0.0,1,2014,1,246
AVATAR715264140,AVATAR715,264140,Pixel Piracy,Vitali Kirpu,2015.0,9.99,1,2014,0,259
AVATAR715249570,AVATAR715,249570,The Castle Doctrine,Jason Rohrer,2014.0,15.99,1,2014,1,2127
AVATAR715316010,AVATAR715,316010,Magic Duels,Stainless Games Ltd.,2015.0,0.0,1,2015,2,22
A-Very-Sly-Person304930,A-Very-Sly-Person,304930,Unturned,Smartly Dressed Games,2017.0,0.0,1,2015,1,76632
76561197994493402264200,76561197994493402,264200,One Finger Death Punch,Silver Dollar Games,2014.0,4.99,1,2015,2,584
97396295218230,97396295,218230,PlanetSide 2,Daybreak Game Company,2012.0,0.0,0,2014,2,10078
97396295301520,97396295,301520,Robocraft,Freejam,2017.0,0.0,1,2014,2,1057
76561198126640317730,76561198126640317,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,1,91215
76561198126640317218230,76561198126640317,218230,PlanetSide 2,Daybreak Game Company,2012.0,0.0,1,2015,1,460
76561198126640317221100,76561198126640317,221100,DayZ,Bohemia Interactive,2013.0,34.99,1,2015,1,8584
76561198126640317222880,76561198126640317,222880,Insurgency,New World Interactive,2014.0,9.99,1,2015,1,384
76561198126640317316010,76561198126640317,316010,Magic Duels,Stainless Games Ltd.,2015.0,0.0,1,2015,2,211
DemonicWolvz4000,DemonicWolvz,4000,Garry's Mod,Facepunch Studios,2006.0,9.99,1,2015,0,3990
DemonicWolvz55230,DemonicWolvz,55230,Saints Row: The Third,Volition,2011.0,9.99,1,2015,2,2892
DemonicWolvz206420,DemonicWolvz,206420,Saints Row IV,Deep Silver Volition,2013.0,14.99,1,2014,2,5805
DemonicWolvz550,DemonicWolvz,550,Left 4 Dead 2,Valve,2009.0,19.99,1,2013,2,4932
DemonicWolvz232090,DemonicWolvz,232090,Killing Floor 2,Tripwire Interactive,2016.0,29.99,1,2015,2,3075
DieMadchenschanderin346110,DieMadchenschanderin,346110,ARK: Survival Evolved,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017.0,59.99,1,2015,1,229
getf0kinn0sc0pedm9730,getf0kinn0sc0pedm9,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,0,61193
76561198141443390730,76561198141443390,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,148507
whodafuqisthisguilao730,whodafuqisthisguilao,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,56450
Magjiikal370480,Magjiikal,370480,Pixel Galaxy,Serenity Forge,2015.0,9.99,1,2015,2,582
ohnospaghet264200,ohnospaghet,264200,One Finger Death Punch,Silver Dollar Games,2014.0,4.99,1,2015,2,180
ohnospaghet266210,ohnospaghet,266210,One Way Heroics,Smoking WOLF,2014.0,3.49,1,2015,2,105
2768820078221380,2768820078,221380,Age of Empires II HD,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013.0,19.99,1,2015,1,6528
2768820078271590,2768820078,271590,Grand Theft Auto V,Rockstar North,2015.0,39.99,1,2015,1,11894
2768820078298110,2768820078,298110,Far Cry® 4,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",2014.0,29.99,1,2015,1,3367
2768820078222420,2768820078,222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,"SNK CORPORATION,Code Mystics",2014.0,14.99,0,2015,1,1481
2768820078333950,2768820078,333950,Medieval Engineers,Keen Software House,2015.0,19.99,1,2015,1,11287
2768820078222440,2768820078,222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,"SNK CORPORATION,Code Mystics",2015.0,14.99,1,2015,1,10101
2768820078377160,2768820078,377160,Fallout 4,Bethesda Game Studios,2015.0,29.99,1,2015,1,25220
2768820078287700,2768820078,287700,METAL GEAR SOLID V: THE PHANTOM PAIN,Konami Digital Entertainment,2015.0,19.99,1,2015,1,72
2d4nk4m347410,2d4nk4m3,47410,Stronghold Kingdoms,FireFly Studios,2012.0,0.0,1,2014,2,7440
2d4nk4m3317470,2d4nk4m3,317470,Cubic Castles,Cosmic Cow LLC,2014.0,0.0,0,2014,0,28
76561198095921854245620,76561198095921854,245620,Tropico 5,Haemimont Games,2014.0,19.99,1,2015,2,1231
EizanAratoFujimaki70,EizanAratoFujimaki,70,Half-Life,Valve,1998.0,9.99,1,2015,1,1395
TeCool274980,TeCool,274980,Influent,Rob Howland,2014.0,9.99,1,2014,1,247
TeCool339280,TeCool,339280,Strife®,S2 Games,2015.0,0.0,1,2015,1,1125
2xDelorean212680,2xDelorean,212680,FTL: Faster Than Light,Subset Games,2012.0,9.99,1,2013,2,1112
2xDelorean200210,2xDelorean,200210,Realm of the Mad God,Wild Shadow Studios,2012.0,0.0,1,2013,2,1983
washington_417860,washington_,417860,Emily is Away,Kyle Seeley,2015.0,0.0,1,2015,1,18
76561198088944293304930,76561198088944293,304930,Unturned,Smartly Dressed Games,2017.0,0.0,1,2014,1,4146
76561198051258119730,76561198051258119,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,22534
nubquake123265610,nubquake123,265610,Epic Battle Fantasy 4,Matt Roszak,2014.0,11.99,1,2014,2,4884
Pyromanic240,Pyromanic,240,Counter-Strike: Source,Valve,2004.0,19.99,1,2013,2,94
Pyromanic4000,Pyromanic,4000,Garry's Mod,Facepunch Studios,2006.0,9.99,1,2013,2,276
Pyromanic31280,Pyromanic,31280,Poker Night at the Inventory,Telltale Games,2010.0,4.99,1,2013,1,200
CobRazor252490,CobRazor,252490,Rust,Facepunch Studios,2013.0,19.99,1,2015,0,3621
relesprit8930,relesprit,8930,Sid Meier's Civilization® V,"Firaxis Games,Aspyr (Mac, Linux)",2010.0,29.99,1,2013,2,7250
WitchHunter4542237310,WitchHunter4542,237310,Elsword,KOG,2014.0,0.0,1,2015,1,4906
WitchHunter4542304930,WitchHunter4542,304930,Unturned,Smartly Dressed Games,2017.0,0.0,1,2014,2,10177
pwrt230410,pwrt,230410,Warframe,Digital Extremes,2013.0,0.0,1,2015,1,142589
765611980312070168930,76561198031207016,8930,Sid Meier's Civilization® V,"Firaxis Games,Aspyr (Mac, Linux)",2010.0,29.99,1,2014,2,25902
76561198043458582105600,76561198043458582,105600,Terraria,Re-Logic,2011.0,9.99,1,2015,0,16204
76561198043458582107410,76561198043458582,107410,Arma 3,Bohemia Interactive,2013.0,39.99,1,2015,2,29825
76561198043458582231430,76561198043458582,231430,Company of Heroes 2,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013.0,19.99,1,2014,1,2890
76561198043458582221100,76561198043458582,221100,DayZ,Bohemia Interactive,2013.0,34.99,1,2015,2,2716
76561198047630659230410,76561198047630659,230410,Warframe,Digital Extremes,2013.0,0.0,0,2015,1,5335
1337lolroflmao7940,1337lolroflmao,7940,Call of Duty® 4: Modern Warfare®,"Infinity Ward,Aspyr (Mac)",2007.0,19.99,1,2013,2,1955
1337lolroflmao33900,1337lolroflmao,33900,Arma 2,Bohemia Interactive,2009.0,12.99,1,2013,2,2281
1337lolroflmao10180,1337lolroflmao,10180,Call of Duty®: Modern Warfare® 2,"Infinity Ward,Aspyr (Mac)",2009.0,19.99,1,2013,2,905
1337lolroflmao234190,1337lolroflmao,234190,Receiver,Wolfire Games,2013.0,4.99,1,2014,0,217
1337lolroflmao261030,1337lolroflmao,261030,The Walking Dead: Season 2,Telltale Games,2013.0,24.99,1,2015,2,506
1337lolroflmao243470,1337lolroflmao,243470,Watch_Dogs™,Ubisoft,2014.0,29.99,1,2014,1,1562
1337lolroflmao271590,1337lolroflmao,271590,Grand Theft Auto V,Rockstar North,2015.0,39.99,1,2015,1,11950
OzfurAtlas212680,OzfurAtlas,212680,FTL: Faster Than Light,Subset Games,2012.0,9.99,1,2013,0,2714
76561198065593074203750,76561198065593074,203750,Binary Domain,Devil's Details,2012.0,14.99,1,2014,0,952
76561198065593074304050,76561198065593074,304050,Trove,Trion Worlds,2015.0,0.0,1,2015,2,966
76561198065593074304930,76561198065593074,304930,Unturned,Smartly Dressed Games,2017.0,0.0,0,2015,0,3472
765611980441697644000,76561198044169764,4000,Garry's Mod,Facepunch Studios,2006.0,9.99,1,2015,1,244352
76561198044169764227940,76561198044169764,227940,Heroes &amp; Generals,Reto-Moto,2016.0,0.0,0,2015,1,4344
765611980870103914000,76561198087010391,4000,Garry's Mod,Facepunch Studios,2006.0,9.99,1,2015,2,23435
66666669999999302830,66666669999999,302830,BLOCKADE 3D,Shumkov Dmitriy,2014.0,0.0,0,2015,1,52
76561198061174192220200,76561198061174192,220200,Kerbal Space Program,Squad,2015.0,39.99,1,2014,2,8368
76561198061174192242760,76561198061174192,242760,The Forest,Endnight Games Ltd,2014.0,14.99,1,2014,1,154
ReMiXOfficalSteam352460,ReMiXOfficalSteam,352460,Dead Realm,Section Studios,2015.0,14.99,1,2015,2,74
Wilfire77322920,Wilfire77,322920,theHunter: Primal,"Expansive Worlds,Avalanche Studios",2015.0,9.99,1,2015,2,1279
76561198084390807252490,76561198084390807,252490,Rust,Facepunch Studios,2013.0,19.99,1,2014,1,1181
Mastic550,Mastic,550,Left 4 Dead 2,Valve,2009.0,19.99,1,2014,2,6642
Mastic206420,Mastic,206420,Saints Row IV,Deep Silver Volition,2013.0,14.99,1,2014,2,3044
Mastic304050,Mastic,304050,Trove,Trion Worlds,2015.0,0.0,0,2015,1,133
7656119802828610410180,76561198028286104,10180,Call of Duty®: Modern Warfare® 2,"Infinity Ward,Aspyr (Mac)",2009.0,19.99,1,2013,2,10169
tarjla4000,tarjla,4000,Garry's Mod,Facepunch Studios,2006.0,9.99,1,2013,2,80364
tarjla105600,tarjla,105600,Terraria,Re-Logic,2011.0,9.99,1,2013,2,15281
tarjla730,tarjla,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2014,2,23614
tarjla252490,tarjla,252490,Rust,Facepunch Studios,2013.0,19.99,1,2014,2,76144
tarjla211820,tarjla,211820,Starbound,Chucklefish,2016.0,14.99,1,2013,0,4639
tarjla304930,tarjla,304930,Unturned,Smartly Dressed Games,2017.0,0.0,1,2014,1,11492
tarjla265750,tarjla,265750,Secret Ponchos,Switchblade Monkeys Entertainment,2015.0,14.99,1,2015,1,110
deathnz1276340,deathnz1,276340,My Riding Stables: Life with Horses,Sproing,2014.0,9.99,1,2014,2,207
76561198104393251304930,76561198104393251,304930,Unturned,Smartly Dressed Games,2017.0,0.0,1,2015,1,5012
redsncrimson49520,redsncrimson,49520,Borderlands 2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012.0,19.99,1,2013,2,16387
redsncrimson223510,redsncrimson,223510,Miasmata,IonFx,2012.0,14.99,1,2013,1,2703
redsncrimson211820,redsncrimson,211820,Starbound,Chucklefish,2016.0,14.99,1,2013,2,8148
redsncrimson274920,redsncrimson,274920,FaceRig,Holotech Studios,2015.0,14.99,1,2014,2,2318
H1DD3NT3RR0R240,H1DD3NT3RR0R,240,Counter-Strike: Source,Valve,2004.0,19.99,1,2014,1,11941
H1DD3NT3RR0R105600,H1DD3NT3RR0R,105600,Terraria,Re-Logic,2011.0,9.99,1,2014,1,34076
H1DD3NT3RR0R730,H1DD3NT3RR0R,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2014,1,28611
H1DD3NT3RR0R204300,H1DD3NT3RR0R,204300,Awesomenauts - the 2D moba,Ronimo Games,2012.0,0.0,1,2013,2,16352
76561198071214618268750,76561198071214618,268750,Magicite,SmashGames,2014.0,9.99,1,2015,2,1085
t8s730,t8s,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,42273
t8s360870,t8s,360870,Ultimate Tic-Tac-Toe,Tigerish Games,2015.0,0.0,1,2015,1,5
pikawuu212900,pikawuu2,12900,AudioSurf,Dylan Fitterer,2008.0,9.99,1,2013,2,5794
Sammeh00301520,Sammeh00,301520,Robocraft,Freejam,2017.0,0.0,1,2014,1,20972
Michaelele6060,Michaelele,6060,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,2005.0,9.99,1,2014,0,3192
Michaelele730,Michaelele,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2014,2,115670
Michaelele107410,Michaelele,107410,Arma 3,Bohemia Interactive,2013.0,39.99,1,2014,1,86
Michaelele304930,Michaelele,304930,Unturned,Smartly Dressed Games,2017.0,0.0,1,2014,2,1297
76561198045754869335670,76561198045754869,335670,LISA,Dingaling,2014.0,9.99,1,2015,0,2892
76561198076098774215080,76561198076098774,215080,WAKFU,Ankama Studio,2014.0,0.0,1,2015,2,27931
76561198048417105271590,76561198048417105,271590,Grand Theft Auto V,Rockstar North,2015.0,39.99,1,2015,1,21181
76561198048417105730,76561198048417105,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,67443
765611980908428918190,76561198090842891,8190,Just Cause 2,Avalanche Studios,2010.0,14.99,1,2015,1,6531
76561198145436942221100,76561198145436942,221100,DayZ,Bohemia Interactive,2013.0,34.99,1,2014,2,67256
3xotic26500,3xotic26,500,Left 4 Dead,Valve,2008.0,19.99,1,2014,2,12599
3xotic26550,3xotic26,550,Left 4 Dead 2,Valve,2009.0,19.99,1,2013,2,6174
3xotic2649520,3xotic26,49520,Borderlands 2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012.0,19.99,1,2014,2,2319
iamthetrashlord206420,iamthetrashlord,206420,Saints Row IV,Deep Silver Volition,2013.0,14.99,1,2015,1,5118
iamthetrashlord213670,iamthetrashlord,213670,South Park™: The Stick of Truth™,Obsidian Entertainment,2014.0,29.99,1,2014,2,2973
3dster550,3dster,550,Left 4 Dead 2,Valve,2009.0,19.99,1,2015,2,352
76561198079990063231040,76561198079990063,231040,Beatbuddy: Tale of the Guardians,Threaks,2013.0,9.99,1,2014,2,644
Forty-Nine221100,Forty-Nine,221100,DayZ,Bohemia Interactive,2013.0,34.99,1,2014,1,2578
L4M1NAS221100,L4M1NAS,221100,DayZ,Bohemia Interactive,2013.0,34.99,1,2015,2,8424
7656119808454273147790,76561198084542731,47790,Medal of Honor™,Electronic Arts,2010.0,19.99,1,2014,2,1775
mrpfresh346110,mrpfresh,346110,ARK: Survival Evolved,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017.0,59.99,1,2015,0,141
GamerFag70,GamerFag,70,Half-Life,Valve,1998.0,9.99,1,2011,1,590
