item_id,features
270550,"Yet Another Zombie Defense, Awesome Games Studio, 2014.0"
274940,"Depth, Digital Confectioners, 2014.0"
212070,"Star Conflict, Star Gem Inc., 2013.0"
264140,"Pixel Piracy, Vitali Kirpu, 2015.0"
6020,"STAR WARS™ Jedi Knight - Jedi Academy™, Raven Software,Aspyr (Mac), 2003.0"
32430,"STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition, LucasArts,Aspyr Studios, 2009.0"
55230,"Saints Row: The Third, Volition, 2011.0"
332800,"Five Nights at Freddy's 2, Scott Cawthon, 2014.0"
35450,"Red Orchestra 2: Heroes of Stalingrad with Rising Storm, Tripwire Interactive, 2011.0"
212680,"FTL: Faster Than Light, Subset Games, 2012.0"
391540,"Undertale, tobyfox, 2015.0"
200510,"XCOM: Enemy Unknown, Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux), 2012.0"
210770,"Sanctum 2, Coffee Stain Studios, 2013.0"
264200,"One Finger Death Punch, Silver Dollar Games, 2014.0"
265610,"Epic Battle Fantasy 4, Matt Roszak, 2014.0"
47870,"Need For Speed: Hot Pursuit, Criterion Games, 2010.0"
351640,"Eternal Senia, Holy Priest, 2015.0"
253710,"theHunter Classic, Expansive Worlds,Avalanche Studios, 2014.0"
339280,"Strife®, S2 Games, 2015.0"
250180,"METAL SLUG 3, SNK CORPORATION,DotEmu, 2014.0"
295550,"Royal Quest, Katauri, 2014.0"
227940,"Heroes &amp; Generals, Reto-Moto, 2016.0"
8850,"BioShock® 2, 2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac), 2010.0"
220240,"Far Cry 3, Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai, 2012.0"
233720,"Surgeon Simulator, Bossa Studios, 2013.0"
320760,"Tokyo School Life, M2 Co.,LTD, 2015.0"
209870,"Blacklight: Retribution, Hardsuit Labs, 2012.0"
362890,"Black Mesa, Crowbar Collective, 2015.0"
322170,"Geometry Dash, RobTop Games, 2014.0"
311560,"Assassin’s Creed® Rogue, Ubisoft Sofia,Ubisoft Kiev, 2015.0"
249570,"The Castle Doctrine, Jason Rohrer, 2014.0"
316010,"Magic Duels, Stainless Games Ltd., 2015.0"
218230,"PlanetSide 2, Daybreak Game Company, 2012.0"
301520,"Robocraft, Freejam, 2017.0"
222880,"Insurgency, New World Interactive, 2014.0"
206420,"Saints Row IV, Deep Silver Volition, 2013.0"
346110,"ARK: Survival Evolved, Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC, 2017.0"
370480,"Pixel Galaxy, Serenity Forge, 2015.0"
266210,"One Way Heroics, Smoking WOLF, 2014.0"
221380,"Age of Empires II HD, Skybox Labs,Hidden Path Entertainment,Ensemble Studios, 2013.0"
271590,"Grand Theft Auto V, Rockstar North, 2015.0"
298110,"Far Cry® 4, Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev, 2014.0"
222420,"THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION, SNK CORPORATION,Code Mystics, 2014.0"
333950,"Medieval Engineers, Keen Software House, 2015.0"
222440,"THE KING OF FIGHTERS 2002 UNLIMITED MATCH, SNK CORPORATION,Code Mystics, 2015.0"
287700,"METAL GEAR SOLID V: THE PHANTOM PAIN, Konami Digital Entertainment, 2015.0"
47410,"Stronghold Kingdoms, FireFly Studios, 2012.0"
317470,"Cubic Castles, Cosmic Cow LLC, 2014.0"
245620,"Tropico 5, Haemimont Games, 2014.0"
70,"Half-Life, Valve, 1998.0"
274980,"Influent, Rob Howland, 2014.0"
200210,"Realm of the Mad God, Wild Shadow Studios, 2012.0"
240,"Counter-Strike: Source, Valve, 2004.0"
31280,"Poker Night at the Inventory, Telltale Games, 2010.0"
8930,"Sid Meier's Civilization® V, Firaxis Games,Aspyr (Mac, Linux), 2010.0"
237310,"Elsword, KOG, 2014.0"
230410,"Warframe, Digital Extremes, 2013.0"
107410,"Arma 3, Bohemia Interactive, 2013.0"
231430,"Company of Heroes 2, Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux), 2013.0"
7940,"Call of Duty® 4: Modern Warfare®, Infinity Ward,Aspyr (Mac), 2007.0"
33900,"Arma 2, Bohemia Interactive, 2009.0"
10180,"Call of Duty®: Modern Warfare® 2, Infinity Ward,Aspyr (Mac), 2009.0"
234190,"Receiver, Wolfire Games, 2013.0"
261030,"The Walking Dead: Season 2, Telltale Games, 2013.0"
243470,"Watch_Dogs™, Ubisoft, 2014.0"
203750,"Binary Domain, Devil's Details, 2012.0"
304050,"Trove, Trion Worlds, 2015.0"
302830,"BLOCKADE 3D, Shumkov Dmitriy, 2014.0"
242760,"The Forest, Endnight Games Ltd, 2014.0"
352460,"Dead Realm, Section Studios, 2015.0"
322920,"theHunter: Primal, Expansive Worlds,Avalanche Studios, 2015.0"
265750,"Secret Ponchos, Switchblade Monkeys Entertainment, 2015.0"
276340,"My Riding Stables: Life with Horses, Sproing, 2014.0"
49520,"Borderlands 2, Gearbox Software,Aspyr (Mac &amp; Linux), 2012.0"
223510,"Miasmata, IonFx, 2012.0"
274920,"FaceRig, Holotech Studios, 2015.0"
268750,"Magicite, SmashGames, 2014.0"
360870,"Ultimate Tic-Tac-Toe, Tigerish Games, 2015.0"
12900,"AudioSurf, Dylan Fitterer, 2008.0"
6060,"Star Wars: Battlefront 2 (Classic, 2005), Pandemic Studios, 2005.0"
335670,"LISA, Dingaling, 2014.0"
215080,"WAKFU, Ankama Studio, 2014.0"
8190,"Just Cause 2, Avalanche Studios, 2010.0"
500,"Left 4 Dead, Valve, 2008.0"
231040,"Beatbuddy: Tale of the Guardians, Threaks, 2013.0"
47790,"Medal of Honor™, Electronic Arts, 2010.0"
220,"Half-Life 2, Valve, 2004.0"
380,"Half-Life 2: Episode One, Valve, 2006.0"
420,"Half-Life 2: Episode Two, Valve, 2007.0"
21100,"F.E.A.R. 3, Day 1 Studios, 2011.0"
215470,"Primal Carnage, Lukewarm Media, 2012.0"
219990,"Grim Dawn, Crate Entertainment, 2016.0"
248860,"NEO Scavenger, Blue Bottle Games, 2014.0"
290020,"LogicBots, Incandescent Games, 2017.0"
298260,"Only If, Creability, 2014.0"
221260,"Little Inferno, Tomorrow Corporation, 2012.0"
113020,"Monaco: What's Yours Is Mine, Pocketwatch Games, 2013.0"
204030,"Fable - The Lost Chapters, Lionhead Studios, 2011.0"
248820,"Risk of Rain, Hopoo Games, LLC, 2013.0"
9180,"Commander Keen, id Software, 1990.0"
10150,"Prototype™, Radical Entertainment, 2009.0"
214950,"Total War™: ROME II - Emperor Edition, Creative Assembly, 2013.0"
291550,"Brawlhalla, Blue Mammoth Games, 2017.0"
265930,"Goat Simulator, Coffee Stain Studios, 2014.0"
10090,"Call of Duty: World at War, Treyarch, 2008.0"
218680,"Scribblenauts Unlimited, 5th Cell Media, 2012.0"
22370,"Fallout 3: Game of the Year Edition, Bethesda Game Studios, 2009.0"
307690,"Sleeping Dogs: Definitive Edition, United Front Games,Feral Interactive (Mac), 2014.0"
248610,"Door Kickers, KillHouse Games, 2014.0"
250340,"Blockland, Eric Hartman,Ben Garney,Anthony Rotondo, 2007.0"
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm, Relic Entertainment, 2008.0"
104900,"ORION: Prelude, Trek Industries, Inc, 2013.0"
221640,"Super Hexagon, Terry Cavanagh, 2012.0"
262410,"World of Guns: Gun Disassembly, Noble Empire Corp., 2014.0"
221040,"Resident Evil 6 / Biohazard 6, Capcom, 2013.0"
222940,"THE KING OF FIGHTERS XIII STEAM EDITION, SNK CORPORATION, 2013.0"
286570,"F1 2015, Codemasters,Feral Interactive (Linux), 2015.0"
208520,"Omerta - City of Gangsters, Haemimont Games, 2013.0"
108600,"Project Zomboid, The Indie Stone, 2013.0"
317360,"Double Action: Boogaloo, Double Action Factory, 2014.0"
239660,"Soldier Front 2, Dragonfly, 2013.0"
283920,"Putt-Putt® Joins the Parade, Humongous Entertainment, 1992.0"
294650,"Putt-Putt® Goes to the Moon, Humongous Entertainment, 1993.0"
12120,"Grand Theft Auto: San Andreas, Rockstar Games, 2005.0"
228280,"Baldur's Gate: Enhanced Edition, Beamdog, 2013.0"
240760,"Wasteland 2: Director's Cut, inXile Entertainment, 2014.0"
250900,"The Binding of Isaac: Rebirth, Nicalis, Inc., 2014.0"
239250,"Castlevania: Lords of Shadow 2, MercurySteam, 2014.0"
346010,"Besiege, Spiderling Studios, 2015.0"
313120,"Stranded Deep, Beam Team Games, 2015.0"
17300,"Crysis, Crytek, 2007.0"
24240,"PAYDAY™ The Heist, OVERKILL Software, 2011.0"
206440,"To the Moon, Freebird Games, 2011.0"
209100,"Resident Evil: Operation Raccoon City, Slant Six Games, 2012.0"
218060,"BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien, Gaijin Games, 2013.0"
209000,"Batman™: Arkham Origins, WB Games Montreal,Splash Damage, 2013.0"
9480,"Saints Row 2, Volition, 2009.0"
22230,"Rock of Ages, ACE Team, 2011.0"
19900,"Far Cry® 2: Fortune's Edition, Ubisoft Montreal, 2008.0"
200260,"Batman: Arkham City - Game of the Year Edition, Rocksteady Studios,Feral Interactive (Mac), 2012.0"
241540,"State of Decay, Undead Labs, 2013.0"
17390,"SPORE™, Maxis™, 2008.0"
274310,"Always Sometimes Monsters, Vagabond Dog, 2014.0"
344770,"fault - milestone two side:above, ALICE IN DISSONANCE, 2015.0"
22380,"Fallout: New Vegas, Obsidian Entertainment, 2010.0"
9900,"Star Trek Online, Cryptic Studios, 2010.0"
245490,"Trials Fusion™, RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev, 2014.0"
20,"Team Fortress Classic, Valve, 1999.0"
209080,"Guns of Icarus Online, Muse Games, 2012.0"
223470,"POSTAL 2, Running With Scissors, 2003.0"
269250,"WORLD END ECONOMiCA episode.01, Spicy Tails, 2014.0"
319510,"Five Nights at Freddy's, Scott Cawthon, 2014.0"
212500,"The Lord of the Rings Online™, Standing Stone Games, LLC, 2012.0"
214420,"Gear Up, Doctor Entertainment AB, 2015.0"
218130,"Dungeonland, Critical Studio, 2013.0"
8980,"Borderlands, Gearbox Software, 2009.0"
57300,"Amnesia: The Dark Descent, Frictional Games, 2010.0"
43000,"Front Mission Evolved, Double Helix Games, 2010.0"
18700,"And Yet It Moves, Broken Rules, 2009.0"
98800,"Dungeons of Dredmor, Gaslamp Games, Inc., 2011.0"
107100,"Bastion, Supergiant Games, 2011.0"
226620,"Desktop Dungeons, QCF Design, 2013.0"
346900,"AdVenture Capitalist, Hyper Hippo Games, 2015.0"
99900,"Spiral Knights, Grey Havens, 2011.0"
380600,"Fishing Planet, Fishing Planet LLC, 2015.0"
2450,"Bloody Good Time, Outerlight Ltd., 2010.0"
230190,"War for the Overworld, Brightrock Games, 2015.0"
246420,"Kingdom Rush, Ironhide Game Studio, 2014.0"
263020,"STARWHAL, Breakfall, 2014.0"
289130,"Endless Legend™, AMPLITUDE Studios, 2014.0"
249050,"Dungeon of the Endless™, AMPLITUDE Studios, 2014.0"
418340,"RWBY: Grimm Eclipse, Rooster Teeth Games, 2016.0"
96100,"Defy Gravity Extended, Paul Fisch, 2016.0"
80,"Counter-Strike: Condition Zero, Valve, 2004.0"
212200,"Mabinogi, NEXON Korea Corp., 2012.0"
252630,"Eldritch, Minor Key Games, 2013.0"
203160,"Tomb Raider, Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux), 2013.0"
213850,"Magic 2014 — Duels of the Planeswalkers, Stainless Games, 2013.0"
8400,"Geometry Wars: Retro Evolved, Bizarre Creations, 2007.0"
282440,"Quake Live™, id Software, 2010.0"
369580,"NotGTAV, NotGames, 2015.0"
225640,"Sacred 2 Gold, Ascaron, 2012.0"
113420,"Fallen Earth Free2Play, Reloaded Productions, 2011.0"
224600,"Defiance, Trion Worlds, Inc., 2014.0"
320,"Half-Life 2: Deathmatch, Valve, 2004.0"
202970,"Call of Duty®: Black Ops II, Treyarch, 2012.0"
224540,"Ace of Spades: Battle Builder, Jagex Limited, 2012.0"
233450,"Prison Architect, Introversion Software, 2015.0"
215530,"The Incredible Adventures of Van Helsing, NeocoreGames, 2013.0"
261640,"Borderlands: The Pre-Sequel, 2K Australia,Gearbox Software,Aspyr (Mac and Linux), 2014.0"
359550,"Tom Clancy's Rainbow Six® Siege, Ubisoft Montreal, 2015.0"
383980,"Rivals of Aether, Dan Fornace, 2017.0"
391460,"WARMODE, WARTEAM, 2015.0"
10500,"Empire: Total War™, The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux), 2009.0"
239160,"Thief, Eidos-Montréal,Feral Interactive (Mac), 2014.0"
322330,"Don't Starve Together, Klei Entertainment, 2016.0"
238460,"BattleBlock Theater®, The Behemoth, 2014.0"
39120,"RIFT, Trion Worlds, 2013.0"
328220,"Wild Season, Quickfire Games, 2015.0"
346560,"Hero of the Kingdom II, Lonely Troops, 2015.0"
239070,"Hammerwatch, Crackshell, 2013.0"
10,"Counter-Strike, Valve, 2000.0"
310380,"Fractured Space, Edge Case Games Ltd., 2016.0"
255710,"Cities: Skylines, Colossal Order Ltd., 2015.0"
10680,"Aliens vs. Predator™, Rebellion, 2010.0"
238320,"Outlast, Red Barrels, 2013.0"
201420,"Toki Tori 2+, Two Tribes, 2013.0"
300570,"Infinifactory, Zachtronics, 2015.0"
206210,"Gotham City Impostors Free to Play, Monolith Productions, Inc., 2012.0"
290080,"Life is Feudal: Your Own, Bitbox Ltd., 2015.0"
339610,"Freestyle 2: Street Basketball, Joycity, 2015.0"
13210,"Unreal Tournament 3 Black, Epic Games, Inc., 2007.0"
22120,"Penumbra: Black Plague Gold Edition, Frictional Games, 2009.0"
20530,"Red Faction, Volition, Inc., 2001.0"
39150,"FINAL FANTASY VIII, Square Enix, 2013.0"
293780,"Crawl, Powerhoof, 2017.0"
244050,"Rise of Flight United, 777 Studios, 2013.0"
242720,"GunZ 2: The Second Duel, Masangsoft, Inc., 2014.0"
251630,"The Impossible Game, Grip Games, 2014.0"
55140,"MX vs. ATV Reflex, Double Helix Games,Rainbow Studios,THQ Nordic, 2010.0"
318430,"Squishy the Suicidal Pig, Tomi Maarela,Elias Viglione, 2014.0"
323470,"DRAGON BALL XENOVERSE, DIMPS, 2015.0"
334230,"Town of Salem, BlankMediaGames, 2014.0"
225260,"Brutal Legend, Double Fine Productions, 2013.0"
45730,"Dark Void™ Zero, Other Ocean Interactive, 2010.0"
99400,"Garshasp: The Monster Slayer, Dead Mage, 2011.0"
213650,"Dwarfs - F2P, Power of 2, 2012.0"
233190,"Final Exam, Mighty Rocket Studio, 2013.0"
261880,"Corporate Lifestyle Simulator, DolphinBarn, 2014.0"
263760,"Turbo Dismount™, Secret Exit Ltd., 2014.0"
230840,"Daylight, Zombie Studios, 2014.0"
340050,"Survivalist, Bob the Game Development Bot, 2015.0"
220780,"Thomas Was Alone, Bithell Games, 2012.0"
237740,"Angry Video Game Nerd Adventures, FreakZone Games, 2013.0"
363970,"Clicker Heroes, Playsaurus, 2015.0"
4560,"Company of Heroes - Legacy Edition, Relic Entertainment, 2006.0"
25890,"Hearts of Iron III, Paradox Development Studio, 2009.0"
203770,"Crusader Kings II, Paradox Development Studio, 2012.0"
224760,"FEZ, Polytron Corporation, 2013.0"
291480,"Warface, Crytek, 2014.0"
322910,"Warhammer 40,000: Regicide, Hammerfall Publishing, 2015.0"
246620,"Plague Inc: Evolved, Ndemic Creations, 2016.0"
393420,"Hurtworld, Bankroll Studios, 2015.0"
237870,"Planet Explorers, Pathea Games, 2016.0"
94400,"Nidhogg, Messhof, 2014.0"
238010,"Deus Ex: Human Revolution - Director's Cut, Eidos Montreal,Feral Interactive (Mac), 2013.0"
241930,"Middle-earth™: Shadow of Mordor™, Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux), 2014.0"
207140,"SpeedRunners, DoubleDutch Games, 2016.0"
302590,"Of Guards And Thieves, Subvert Games, 2016.0"
242880,"Sir, You Are Being Hunted, Big Robot Ltd, 2013.0"
49600,"Beat Hazard, Cold Beam Games, 2010.0"
109600,"Neverwinter, Cryptic Studios, 2013.0"
19000,"Silent Hill Homecoming, Double Helix Games, 2008.0"
242050,"Assassin’s Creed® IV Black Flag™, Ubisoft Montreal, 2013.0"
330840,"Game of Thrones - A Telltale Games Series, Telltale Games, 2014.0"
248310,"Freedom Planet, GalaxyTrail, 2014.0"
259720,"Fading Hearts, Sakura River Interactive, 2009.0"
238430,"Contagion, Monochrome, Inc, 2013.0"
267750,"Shadowrun Chronicles - Boston Lockdown, Cliffhanger Productions, 2015.0"
293920,"Spirited Heart Deluxe, Winter Wolves, 2011.0"
239140,"Dying Light, Techland, 2015.0"
400,"Portal, Valve, 2007.0"
305620,"The Long Dark, Hinterland Studio Inc., 2017.0"
323370,"TERA, Bluehole, Inc., 2015.0"
287920,"Mortal Online, Star Vault AB, 2015.0"
70000,"Dino D-Day, 800 North and Digital Ranch, 2011.0"
244410,"Supreme Ruler 1936, BattleGoat Studios, 2014.0"
17480,"Command &amp; Conquer: Red Alert 3, EA Los Angeles, 2008.0"
20500,"Red Faction Guerrilla Steam Edition, Volition,Reactor Zero,THQ Nordic, 2009.0"
263500,"Dragons and Titans, Wyrmbyte, 2014.0"
249650,"Blackguards, Daedalic Entertainment, 2014.0"
221180,"Eufloria HD, Rudolf Kremers &amp; Alex May,Tuna, 2014.0"
40800,"Super Meat Boy, Team Meat, 2010.0"
206190,"Gunpoint, Suspicious Developments, 2013.0"
268650,"From the Depths, Brilliant Skies Ltd., 2014.0"
285900,"Gang Beasts, Boneloaf, 2017.0"
239720,"PAC-MAN™ and the Ghostly Adventures, NAMCO BANDAI Games, 2013.0"
376560,"Big Fish Legend, Igry.ru, 2015.0"
42960,"Victoria II, Paradox Development Studio, 2010.0"
236090,"Dust: An Elysian Tail, Humble Hearts LLC, 2013.0"
6860,"Hitman: Blood Money, Io-Interactive A/S, 2006.0"
17080,"Tribes: Ascend, Hi-Rez Studios, 2012.0"
397340,"SimplePlanes, Jundroo, LLC, 2015.0"
273110,"Counter-Strike Nexon: Zombies, Nexon, 2014.0"
312280,"Simply Chess, BlueLine Games, 2015.0"
34900,"Bad Rats: the Rats' Revenge, Invent4 Entertainment, 2009.0"
354140,"Five Nights at Freddy's 3, Scott Cawthon, 2015.0"
34830,"Sniper: Ghost Warrior, City Interactive, 2010.0"
203140,"Hitman: Absolution™, Io-Interactive A/S,Feral Interactive (Mac), 2012.0"
204450,"Call of Juarez® Gunslinger, Techland, 2013.0"
233270,"Far Cry 3 - Blood Dragon, Ubisoft Montreal, 2013.0"
41700,"S.T.A.L.K.E.R.: Call of Pripyat, GSC Game World, 2010.0"
325610,"Total War: ATTILA, Creative Assembly, 2015.0"
301640,"Zombie Army Trilogy, Rebellion, 2015.0"
50130,"Mafia II, 2K Czech,Feral Interactive (Mac), 2011.0"
244450,"Men of War: Assault Squad 2, Digitalmindsoft, 2014.0"
209160,"Call of Duty®: Ghosts, Infinity Ward, 2014.0"
228180,"Action! - Gameplay Recording and Streaming, Mirillis, 2014.0"
11610,"Dragon Nest, Eyedentity Games Inc., 2012.0"
12110,"Grand Theft Auto: Vice City, Rockstar Games, 2003.0"
2600,"Vampire: The Masquerade - Bloodlines, Troika Games, 2004.0"
20900,"The Witcher: Enhanced Edition Director's Cut, CD PROJEKT RED, 2008.0"
230230,"Divinity: Original Sin (Classic), Larian Studios, 2014.0"
214490,"Alien: Isolation, Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux), 2014.0"
330830,"Tales from the Borderlands, Telltale Games, 2014.0"
282070,"This War of Mine, 11 bit studios, 2014.0"
311210,"Call of Duty®: Black Ops III, Treyarch, 2015.0"
306130,"The Elder Scrolls® Online: Tamriel Unlimited™, Zenimax Online Studios, 2014.0"
67370,"The Darkness II, Digital Extremes, 2012.0"
205100,"Dishonored, Arkane Studios, 2012.0"
4920,"Natural Selection 2, Unknown Worlds Entertainment, 2012.0"
212800,"Super Crate Box, Vlambeer, 2010.0"
346120,"Boring Man - Online Tactical Stickman Combat, Spasman Games, 2014.0"
42700,"Call of Duty®: Black Ops, Treyarch, 2010.0"
423880,"Carpe Diem, Eyzi, 2015.0"
4700,"Medieval II: Total War™, The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux), 2006.0"
209730,"R.A.W. Realms of Ancient War, Wizarbox, 2012.0"
250400,"How to Survive, Eko Software, 2013.0"
228380,"Next Car Game: Wreckfest, Bugbear, 2014.0"
57690,"Tropico 4, Haemimont Games, 2011.0"
242920,"Banished, Shining Rock Software LLC, 2014.0"
233130,"Shadow Warrior, Flying Wild Hog, 2013.0"
314020,"Morphopolis, Dan  Walters,Ceri Williams, 2014.0"
249130,"LEGO® Marvel™ Super Heroes, Traveller's Tales, 2013.0"
241600,"Rogue Legacy, Cellar Door Games, 2013.0"
58610,"Wargame: European Escalation, Eugen Systems, 2012.0"
263060,"Blockstorm, GhostShark, 2015.0"
24720,"SPORE™ Galactic Adventures, EA - Maxis, 2009.0"
216150,"MapleStory, Nexon, 2012.0"
416670,"Gunslingers, webgames, 2015.0"
287450,"Rise of Nations: Extended Edition, SkyBox Labs,Big Huge Games, 2014.0"
234330,"Marvel Puzzle Quest, Demiurge Studios, 2013.0"
278080,"DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝, KOEI TECMO GAMES CO., LTD., 2014.0"
238240,"Edge of Space, Handyman Studios, 2015.0"
287390,"Metro: Last Light Redux, 4A Games, 2014.0"
204180,"Waveform, Eden Industries, 2012.0"
266010,"LYNE, Thomas Bowker, 2014.0"
235460,"METAL GEAR RISING: REVENGEANCE, PlatinumGames, 2014.0"
251060,"Wargame: Red Dragon, Eugen Systems, 2014.0"
327890,"I am Bread, Bossa Studios, 2015.0"
245170,"Skullgirls, Lab Zero Games, 2013.0"
7670,"BioShock™, 2K Boston,2K Australia, 2007.0"
214250,"I Am Alive, Ubisoft  Shanghaï, 2012.0"
274190,"Broforce, Free Lives, 2015.0"
304240,"Resident Evil / biohazard HD REMASTER, CAPCOM Co., Ltd., 2015.0"
38410,"Fallout 2: A Post Nuclear Role Playing Game, Black Isle Studios, 1998.0"
21690,"Resident Evil™ 5/ Biohazard 5®, Capcom, 2009.0"
321360,"Primal Carnage: Extinction, Circle Five Studios,Pub Games, 2015.0"
239800,"Bleed, Ian Campbell, 2013.0"
329490,"Phantom Breaker: Battle Grounds, MAGES. Inc., 2015.0"
409160,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist, Crows Crows Crows, 2015.0"
265810,"The Sandbox, PIXOWL INC., 2015.0"
32370,"STAR WARS™ - Knights of the Old Republic™, BioWare,Aspyr (Mac), 2003.0"
208580,"STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™, Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update), 2005.0"
247000,"Talisman: Digital Edition, Nomad Games, 2014.0"
335330,"Brick-Force, Exe Games Inc., 2012.0"
351290,"Survival: Postapocalypse Now, TB Games, 2015.0"
40100,"Supreme Commander 2, Gas Powered Games, 2010.0"
25010,"Lugaru HD, Wolfire Games, 2005.0"
357330,"Space Beast Terror Fright, nornware AB, 2015.0"
102500,"Kingdoms of Amalur: Reckoning™, Big Huge Games,38 Studios, 2012.0"
34870,"Sniper: Ghost Warrior 2, City Interactive, 2013.0"
266510,"Hand of Fate, Defiant Development, 2015.0"
321980,"Hardland, Mountain Sheep, 2014.0"
342300,"Zombie Kill of the Week - Reborn, Still Running, 2015.0"
35720,"Trine 2: Complete Story, Frozenbyte, 2013.0"
236110,"Dungeon Defenders II, Trendy Entertainment, 2017.0"
35140,"Batman: Arkham Asylum Game of the Year Edition, Rocksteady Studios,Feral Interactive (Mac), 2010.0"
367240,"Avenging Angel, Dark Amber Softworks, 2015.0"
201810,"Wolfenstein: The New Order, Machine Games, 2014.0"
65800,"Dungeon Defenders, Trendy Entertainment, 2011.0"
200710,"Torchlight II, Runic Games, 2012.0"
207250,"Cubemen, 3 Sprockets, 2012.0"
313340,"Mountain, David OReilly, 2014.0"
13570,"Tom Clancy's Splinter Cell Chaos Theory®, Ubisoft Montreal, 2005.0"
211400,"Deadlight, Tequila Works, S.L., 2012.0"
236430,"DARK SOULS™ II, FromSoftware, Inc, 2014.0"
222750,"Wargame: Airland Battle, Eugen Systems, 2013.0"
1900,"Earth 2160, Reality Pump Studios, 2006.0"
